Typ cery,Główny problem,Poboczny problem,Wrażliwa,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
Normalna,Nadprodukcja sebum,Przebarwienia,1,30,CeraVe Oczyszczający Żel do Mycia ciała i twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Tołpa - Authentic - Krem Matowa Skóra,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Acnederm,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Przebarwienia,Przebarwienia,0,20,Cosrx - Low pH Good Morning Gel Cleanser - Łagodny Żel do Mycia Twarzy,Nacomi Next Level Serum Ceramidy 5%,HelloBody Aloe Light nawilżający krem do twarzy,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Acnederm,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Podrażnienie,Suche skórki,0,19,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Sensifine AR,Naklejki na krostki z Selfie Project,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Widoczne naczynka,Brak,0,22,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CETAPHIL MD DERMOPROTEKTOR,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Tołpa Authentic Nawilżona Skóra,Pharmaceris T Sebo-Almond Peel krem z 10% kwasem migdałowym,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Szara cera,Brak,0,22,Żel Tołpa Dermo Face Physio,Hellobody - cararise ,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Garnier Ambre Solaire SPF 51,Bielenda Hydra Boost nawilżające serum do twarzy,Tołpa Authentic Nawilżona Skóra,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Nadprodukcja sebum,Brak,0,25,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Avene Cleanance Women,Sudocrem,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,Nadprodukcja sebum,Niedoskonałości,0,25,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Sunewmed Essence+ Aktywator Pod Krem I Oczy,CeraVe Nawilżający Krem do Twarzy,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Yope Moon SPA krem do twarzy,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Widoczne naczynka,Podrażnienie,0,26,La Roche Posay Effaclar żel oczyszczający,Tołpa - Hydrativ - Hialuronowe Serum-Booster Nawilżające,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bandi - Delicate Care - Kojący Krem Matujący,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Mieszana,Nadprodukcja sebum,Brak,0,19,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,SunewMed+ Vitamin C,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Niedoskonałości,Brak,1,25,FLUFF Superfood myjący mus do twarzy,Tołpa - Pre Age - Matujące Serum Normalizujące - 20ml,SunewMed+ Vitamin C,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Mieszana,Nadprodukcja sebum,Przebarwienia,0,18,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Normalna,Niedoskonałości,Niedoskonałości,1,31,La Roche Posay Effaclar żel oczyszczający,Basiclab serum antyoksydacyjne witamina C 15%,La Roche-Posay Nawilżający krem do nadwrażliwej skóry twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Nanili Professional T-Cream (Aktywny krem naprawczy),Pharmaceris T Sebo-Almond Peel krem z 10% kwasem migdałowym,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,brak
Tłusta,Podrażnienie,Nadprodukcja sebum,0,17,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Tłusta,Widoczne naczynka,Suche skórki,0,21,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,HELLO BODY Coco Dream Regenerujące serum,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
Mieszana,Szara cera,Szara cera,1,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,HELLO BODY Coco Dream Regenerujące serum,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Szara cera,Podrażnienie,1,22,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Revox Just Niacinamide 10%,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,CeraVe Nawilżający Krem do Twarzy,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Niedoskonałości,Brak,0,25,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,CETAPHIL MD DERMOPROTEKTOR,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Hydraliane,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Mieszana,Nadprodukcja sebum,Brak,1,23,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Nadprodukcja sebum,Nadprodukcja sebum,1,35,La Roche Posay Effaclar żel oczyszczający,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Naklejki na krostki z Selfie Project,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Mieszana,Podrażnienie,Brak,1,19,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Widoczne naczynka,Podrażnienie,1,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Niedoskonałości,Podrażnienie,1,28,OnlyBio Kombucha Puszysta pianka do mycia twarzy,Nacomi Next Level Serum Ceramidy 5%,SunewMed+ Vitamin C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Yope Moon SPA krem do twarzy,Acnederm,APIS Maska Ściągająco-Wygładzająca z Białą Glinką i Cynkiem,brak
Normalna,Podrażnienie,Podrażnienie,0,17,BIELENDA CBD Cannabidiol,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,BIELENDA Blue Matcha krem-żel,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Nadprodukcja sebum,Podrażnienie,0,21,BIELENDA CBD Cannabidiol,Revox Just Niacinamide 10%,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Dermedic Melumin,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Widoczne naczynka,Podrażnienie,0,23,BANDI Pure Care Morski żel oczyszczający do twarzy,Nacomi Next Level Serum Ceramidy 5%,HelloBody Aloe Light nawilżający krem do twarzy,La Roche-Posay Anthelios XL SPF50+,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Acnederm,FACEBOOM rozświetlająco-nawilżająca maseczka w płacie,Brak
Tłusta,Nadprodukcja sebum,Przebarwienia,1,24,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,The Ordinary Hyaluronic Acid 2% + B5,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,CeraVe Nawilżający Krem do Twarzy,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,Niedoskonałości,Szara cera,0,28,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Tłusta,Niedoskonałości,Podrażnienie,1,24,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,BIELENDA Blue Matcha krem-żel,Sudocrem,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,FACEBOOM Seboom peeling kwasowy wygładzający
Tłusta,Przebarwienia,Przebarwienia,0,20,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Tołpa Authentic Nawilżona Skóra,Acnederm,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Niedoskonałości,Suche skórki,1,23,Żel Tołpa Dermo Face Physio,Nacomi Next Lvl Serum z Witaminą C 15%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Some By Mi Truecica Mineral 100 Krem Przeciwsłoneczny Spf 50 Pa++++ Calming Suncream,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,SVR Hydraliane,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Szara cera,Podrażnienie,0,18,Żel Tołpa Dermo Face Physio,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Przebarwienia,Suche skórki,1,17,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Lvl Serum z Witaminą C 15%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Nanili Professional T-Cream (Aktywny krem naprawczy),Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Widoczne naczynka,Brak,1,22,Żel Tołpa Dermo Face Physio,Revox Just Niacinamide 10%,CeraVe Nawilżający krem do twarzy,Nacomi Next Level krem do twarzy SPF50 city formula,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Widoczne naczynka,Rozszerzone pory,1,20,Żel Tołpa Dermo Face Physio,Revox Just Niacinamide 10%,CeraVe Nawilżający Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Naklejki na krostki z Selfie Project,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,Przebarwienia,Brak,0,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,SunewMed+ Vitamin C,La Roche-Posay Anthelios XL SPF50+,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Rozszerzone pory,Podrażnienie,0,23,BANDI Pure Care Morski żel oczyszczający do twarzy,Nacomi Next Level Serum Ceramidy 5%,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,La Roche-Posay Anthelios XL SPF50+,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Mieszana,Niedoskonałości,Brak,0,26,Żel Tołpa Dermo Face Physio,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF53,TOŁPA DERMO FACE STREFA T nawilżające serum-booster,Hagi phases,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
Normalna,Podrażnienie,Suche skórki,0,18,BANDI Pure Care Morski żel oczyszczający do twarzy,Q+A - Peptide - Facial Serum - Nawilżająco-Regenerujące Serum do Twarzy z Peptydami,Sensibio AR Bioderma,Revox Just Daily Sun Krem przeciwsłoneczny SPF54,Nacomi Next Level niacinamide 15%,Avene Cleanance Women,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Podrażnienie,Podrażnienie,0,23,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,Revox Just Niacinamide 10%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,HELLO BODY Coco Dream Regenerujące serum,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,brak
Normalna,Szara cera,Suche skórki,0,27,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,SVR Sensifine AR,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Podrażnienie,Brak,0,24,Neutrogena Visibly Clear Clear & Defend Facial Wash,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,SunewMed+ Vitamin C,Skin79 Waterproof Sun Gel Krem ochronny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Szara cera,Nadprodukcja sebum,1,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Sensibio AR Bioderma,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Nadprodukcja sebum,Brak,1,28,Cosrx - Low pH Good Morning Gel Cleanser - Łagodny Żel do Mycia Twarzy,Nacomi Next Lvl Serum z Witaminą C 15%,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Podrażnienie,Suche skórki,0,19,FaceBoom Oczyszczająca pianka do mycia twarzy,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,BIELENDA Blue Matcha krem-żel,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Brak
Sucha,Podrażnienie,Nadprodukcja sebum,1,18,BIELENDA CBD Cannabidiol,Apis - Hyaluron 4D + Orchistem TM - Koncentrat Nawilżający,Bielenda Rose Care Nawilżający krem różany do cery wrażliwej,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Sensifine AR,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,Brak
Normalna,Nadprodukcja sebum,Podrażnienie,0,17,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Uriage Roseliane SPF30 krem do cery naczynkowej,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bandi - Delicate Care - Kojący Krem Matujący,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Niedoskonałości,Szara cera,1,27,Bielenda Fresh Juice Nawilżający micelarny żel do mycia twarzy z bioaktywną wodą cytrusową,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bielenda Rose Care Nawilżający krem różany do cery wrażliwej,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sensifine AR,Pharmaceris T Medi Acne-Pointgel,APIS Maska Ściągająco-Wygładzająca z Białą Glinką i Cynkiem,brak
Tłusta,Widoczne naczynka,Brak,0,19,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,Q+A - Peptide - Facial Serum - Nawilżająco-Regenerujące Serum do Twarzy z Peptydami,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sensifine AR,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
