ID,Typ cery,Wrażliwa,Główny problem,Poboczny problem,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
98,Normalna,1,Widoczne naczynka,Brak,21,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
99,Sucha,1,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
100,Normalna,1,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
101,Tłusta,0,Nadprodukcja sebum,Niedoskonałości,21,CeraVe Wygładzający Żel do Mycia,Revox Just Niacinamide 10%,CeraVe Nawilżający Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
102,Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,CeraVe Wygładzający Żel do Mycia,Revox Just Niacinamide 10%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
103,Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
104,Tłusta,0,Niedoskonałości,Przebarwienia,20,Neutrogena Visibly Clear Clear & Defend Facial Wash,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
105,Mieszana,0,Niedoskonałości,Podrażnienie,17,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
106,Tłusta,0,Niedoskonałości,Brak,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Acnederm,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
107,Mieszana,0,Niedoskonałości,Podrażnienie,21,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Acnederm,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Brak
108,Normalna,0,Podrażnienie,Brak,20,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Brak,Mediheal NMF Aquaring Ampoule Mask EX,Brak
109,Mieszana,0,Podrażnienie,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Brak,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
110,Mieszana,0,Podrażnienie,Brak,20,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Brak,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
111,Normalna,0,Podrażnienie,Suche skórki,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Maść z witaminą A,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
112,Mieszana,1,Podrażnienie,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Brak,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
113,Mieszana,0,Podrażnienie,Brak,24,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Brak,Mediheal NMF Aquaring Ampoule Mask EX,Brak
114,Tłusta,1,Niedoskonałości,Brak,17,BIELENDA CBD Cannabidiol,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Acnederm,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
115,Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Brak,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
116,Normalna,0,Przebarwienia,Brak,17,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Brak,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
117,Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Brak,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
118,Normalna,0,Przebarwienia,Podrażnienie,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Brak,Mediheal NMF Aquaring Ampoule Mask EX,Brak
119,Tłusta,0,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
120,Tłusta,0,Rozszerzone pory,Przebarwienia,22,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
121,Sucha,0,Suche skórki,Szara cera,24,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Hydraliane,Maść z witaminą A,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
122,Normalna,0,Szara cera,Brak,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,CeraVe Nawilżający Krem do Twarzy,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
123,Sucha,1,Szara cera,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,SVR Hydraliane,Maść z witaminą A,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
124,Sucha,1,Widoczne naczynka,Brak,17,Vianek Nawilżająca Emulsja Myjąca do Twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sensifine AR,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
125,Normalna,1,Niedoskonałości,Brak,21,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sensifine AR,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
126,Sucha,1,Widoczne naczynka,Brak,24,Vianek Nawilżająca Emulsja Myjąca do Twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,SVR Sensifine AR,Maść z witaminą A,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
127,Normalna,1,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sensifine AR,Maść z witaminą A,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
128,Tłusta,1,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
129,Tłusta,0,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
130,Tłusta,0,Podrażnienie,Brak,24,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,CeraVe Nawilżający Krem do Twarzy,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
131,Tłusta,1,Niedoskonałości,Podrażnienie,17,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
132,Sucha,1,Przebarwienia,Podrażnienie,20,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
133,Normalna,0,Przebarwienia,Podrażnienie,17,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
134,Sucha,1,Przebarwienia,Podrażnienie,20,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
135,Normalna,0,Przebarwienia,Brak,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
136,Tłusta,0,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
137,Tłusta,0,Rozszerzone pory,Przebarwienia,18,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
138,Sucha,0,Suche skórki,Szara cera,24,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Maść z witaminą A,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
139,Normalna,0,Szara cera,Brak,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,CeraVe Nawilżający Krem do Twarzy,Brak,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
140,Sucha,0,Szara cera,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Hydraliane,Maść z witaminą A,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
141,Sucha,0,Widoczne naczynka,Brak,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sensifine AR,Brak,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
142,Normalna,0,Niedoskonałości,Brak,21,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sensifine AR,Acnederm,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Brak
143,Sucha,0,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sensifine AR,Maść z witaminą A,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
144,Normalna,0,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Maść z witaminą A,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
145,Tłusta,0,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
146,Tłusta,1,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
147,Normalna,0,Szara cera,Widoczne naczynka,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,CeraVe Nawilżający Krem do Twarzy,Brak,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
148,Tłusta,1,Rozszerzone pory,Nadprodukcja sebum,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
